HIP,Teff,logg,FeH,OH,NaH,MgH,AlH,SiH,CaH,TiH,CrH,NiH,ZnH,YH,BaH
2743,4991,4.57,-0.41,0.35,-0.05,0.30,0.23,0.15,0.18,0.36,0.11,0.04,0.06,0.30,-0.05
2787,6583,3.87,-0.11,99.99,-0.01,-0.03,-0.06,0.00,0.10,0.03,-0.03,-0.07,-0.15,0.00,0.57
2909,5743,4.07,-0.15,0.22,0.03,0.27,0.17,0.11,0.08,0.14,-0.02,-0.01,0.13,-0.13,-0.10
3026,6157,4.19,-1.13,99.99,-0.21,0.13,99.99,0.13,0.26,0.27,0.02,-0.10,0.01,-0.09,-0.11
3086,5825,4.34,-0.10,0.08,-0.04,0.07,0.10,0.01,0.05,0.15,0.00,-0.02,0.09,-0.08,-0.01
3142,6198,4.18,-0.38,0.08,0.07,0.12,0.08,0.04,0.10,0.10,0.00,-0.03,-0.07,-0.10,0.02
3170,5963,4.05,-0.24,0.12,0.00,0.21,0.15,0.06,0.09,0.07,0.03,-0.02,-0.02,-0.14,0.03
3182,5643,4.32,-0.29,0.43,0.05,0.26,0.25,0.17,0.12,0.23,0.03,0.03,0.12,-0.02,-0.12
3185,5335,3.88,-0.59,0.51,0.13,0.27,0.34,0.22,0.23,0.33,0.07,0.03,0.21,0.13,0.12
3391,5600,4.30,0.16,-0.03,0.12,0.03,0.05,0.06,0.00,0.00,0.01,0.06,0.25,-0.07,-0.03
3479,5563,4.40,-0.26,0.26,-0.03,0.12,0.11,0.06,0.01,0.08,0.02,-0.04,0.05,-0.06,-0.13
3497,5638,4.41,-0.32,0.39,0.02,0.21,0.25,0.14,0.11,0.23,0.04,0.02,0.14,-0.08,-0.13
3704,6078,4.40,-0.35,0.07,0.00,0.04,0.07,0.00,0.05,0.09,-0.02,-0.03,0.05,-0.08,0.06
3734,6225,3.99,-0.06,0.08,0.00,0.16,0.00,0.02,0.05,0.02,-0.03,-0.07,-0.12,0.04,0.17
3909,6352,4.45,-0.03,99.99,-0.08,-0.04,-0.05,-0.05,0.03,0.00,-0.05,-0.06,-0.13,0.03,0.16
4830,6046,4.16,0.12,-0.12,0.06,0.11,0.04,0.01,0.00,-0.03,-0.04,-0.01,0.04,-0.08,-0.07
4892,5994,4.42,-0.29,0.03,0.01,0.06,0.08,0.02,0.05,0.02,-0.03,-0.04,0.08,-0.08,0.06
5054,5768,4.33,-0.62,0.56,0.11,0.39,0.29,0.25,0.24,0.28,0.01,0.03,0.41,0.29,0.40
5264,5720,3.83,0.00,-0.05,0.03,0.11,0.06,0.02,0.04,-0.02,-0.05,-0.02,0.26,-0.06,0.01
5301,5686,4.39,-0.11,0.01,-0.03,0.02,0.02,0.00,0.00,-0.01,0.02,-0.03,0.18,-0.03,0.03
5315,4971,3.41,-0.46,0.50,0.17,0.36,0.35,0.24,0.19,0.31,0.03,0.04,0.28,0.08,-0.15
5700,5792,4.34,0.04,0.03,-0.07,0.08,0.07,0.00,0.01,0.07,0.01,-0.05,-0.02,-0.08,-0.06
5817,5292,4.39,-0.08,0.37,-0.04,0.24,0.21,0.17,0.08,0.19,0.03,0.05,0.12,0.01,0.00
5862,6145,4.24,0.17,99.99,0.06,0.04,0.02,0.02,0.00,-0.02,0.01,-0.01,-0.09,-0.21,-0.12
6177,5026,4.56,-0.11,0.28,-0.06,0.03,0.06,0.02,0.06,0.15,0.09,0.00,0.03,0.14,-0.04
6607,5451,4.47,-0.44,0.49,0.07,0.26,0.27,0.20,0.13,0.28,0.03,0.03,0.18,-0.02,-0.10
6653,5841,4.34,0.22,-0.17,0.06,0.00,0.01,0.03,-0.01,0.03,0.00,0.03,0.00,-0.02,-0.04
6856,5036,4.52,-0.10,0.28,-0.05,-0.12,0.01,-0.06,0.18,0.15,0.18,-0.07,-0.03,0.29,0.27
6949,5005,3.35,-0.50,0.33,0.09,0.29,0.29,0.19,0.18,0.26,0.00,0.01,0.13,0.07,-0.10
7080,5691,4.12,0.35,-0.18,0.03,0.05,0.04,0.06,0.00,0.05,0.03,0.04,0.03,0.02,-0.11
7091,5284,4.36,0.02,0.24,0.00,0.04,0.05,0.10,-0.04,0.04,0.01,0.04,0.12,-0.09,-0.06
7162,5217,2.97,-2.05,99.99,-0.18,0.36,99.99,0.26,0.21,0.16,0.08,-0.12,99.99,-0.18,-0.17
7276,6038,4.28,0.28,-0.30,0.05,-0.02,0.02,-0.02,-0.06,0.00,-0.03,0.03,0.03,-0.09,-0.09
7961,5648,3.91,-0.62,0.55,0.14,0.38,0.37,0.24,0.27,0.29,0.02,0.01,0.16,-0.08,-0.16
7978,6219,4.41,0.05,-0.15,-0.09,-0.07,-0.07,-0.04,0.04,-0.01,0.01,-0.07,-0.11,0.08,0.21
8398,5918,4.23,0.20,-0.10,0.11,0.12,0.11,0.06,-0.01,-0.01,-0.02,0.03,0.02,-0.04,-0.05
8498,5712,4.31,0.04,0.03,0.05,0.04,0.04,0.03,0.01,0.00,0.01,0.01,0.11,-0.05,-0.02
8572,5931,3.77,-2.62,99.99,99.99,99.99,99.99,99.99,0.46,0.52,99.99,0.13,99.99,99.99,-0.26
8674,5526,4.45,-0.61,0.46,0.06,0.26,0.25,0.18,0.16,0.26,0.01,0.00,0.21,0.67,0.72
8758,5920,4.29,0.00,-0.03,0.01,0.00,-0.01,0.02,0.03,0.03,-0.02,-0.02,-0.04,-0.05,-0.02
8798,5749,4.37,-0.23,0.28,0.02,0.23,0.23,0.13,0.11,0.19,0.01,0.01,0.21,-0.06,-0.07
8859,6420,4.21,-0.30,0.08,0.01,0.15,0.03,0.04,0.06,0.02,-0.05,-0.07,-0.13,-0.06,0.10
9085,6334,4.29,-0.26,99.99,0.01,0.12,-0.03,0.05,0.08,0.05,-0.02,-0.05,-0.06,-0.26,0.12
9137,6310,4.25,-0.33,0.06,0.05,0.18,0.07,0.09,0.10,0.05,-0.03,-0.06,-0.01,-0.09,0.11
9316,5606,3.88,0.10,-0.05,0.11,0.08,0.08,0.03,0.03,0.00,0.01,0.04,0.31,-0.09,-0.01
9381,5673,4.35,-0.28,0.34,0.07,0.24,0.25,0.14,0.07,0.17,0.01,0.03,0.14,-0.07,-0.09
9471,5653,4.13,0.04,0.07,0.02,0.14,0.19,0.07,0.07,0.10,-0.02,0.02,0.11,-0.14,-0.05
9629,5362,4.45,-0.28,0.39,0.00,0.14,0.16,0.11,0.03,0.17,0.04,-0.01,0.07,0.09,-0.08
9818,5579,4.04,-0.05,0.22,0.05,0.14,0.19,0.11,0.08,0.14,-0.01,0.03,0.22,-0.07,-0.05
9911,5920,4.24,0.08,-0.04,0.08,0.10,0.09,0.05,0.01,0.01,-0.01,0.01,0.17,-0.12,-0.05
10116,5855,4.06,-0.01,-0.04,0.03,0.00,0.04,0.02,0.04,0.04,-0.01,-0.01,-0.03,-0.11,-0.10
10225,6480,4.20,0.03,0.16,0.14,0.27,0.14,0.13,0.13,0.10,0.00,-0.02,0.10,-0.13,0.07
10306,6507,3.96,-0.19,99.99,0.07,0.05,0.09,0.05,0.08,0.05,-0.05,-0.03,-0.10,0.08,0.43
10483,6113,4.29,-0.12,-0.05,0.02,0.01,0.01,-0.01,0.00,-0.03,-0.04,-0.05,-0.01,-0.11,-0.03
10492,5769,4.46,0.34,-0.18,0.17,-0.07,-0.01,0.02,-0.05,0.05,0.03,0.07,0.04,0.03,-0.07
10694,5870,4.29,0.12,0.01,0.00,0.09,0.07,0.00,-0.03,0.04,-0.02,-0.01,0.00,-0.07,-0.12
