Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD21938,5778,4.38,-0.47,-0.340,-0.210,-0.235,-0.293,-0.296,-0.333,-0.283,-0.236,-0.243,-0.361,-0.453,-0.410,-0.675,-0.336,-0.437
HD219495,4787,4.40,0.13,0.375,-0.040,0.425,0.112,0.204,0.807,0.198,0.446,0.153,0.679,0.199,-0.003,0.090,0.377,0.166
HD21977,5930,4.45,0.10,0.140,0.057,0.105,0.096,0.088,0.087,0.147,0.118,0.037,0.096,0.106,0.080,0.168,0.141,0.110
HD220256,5144,4.41,-0.10,0.010,0.037,0.150,-0.017,-0.038,0.167,0.058,0.164,0.085,0.388,-0.067,-0.097,-0.110,0.079,-0.073
HD220339,5029,4.55,-0.35,-0.255,-0.313,-0.210,-0.299,-0.272,-0.143,-0.298,-0.163,-0.253,0.030,-0.296,-0.350,-0.408,-0.280,-0.354
HD220367,6128,4.37,-0.21,-0.200,-0.100,-0.190,-0.161,-0.133,-0.057,-0.120,-0.119,-0.128,-0.165,-0.210,-0.207,-0.305,-0.209,-0.218
HD220456,5887,4.50,-0.02,-0.065,-0.023,-0.060,-0.024,0.012,-0.017,-0.033,0.002,-0.045,-0.027,-0.011,-0.007,-0.060,-0.066,-0.055
HD22049,5153,4.53,-0.11,-0.105,-0.067,-0.070,-0.121,-0.035,0.007,-0.187,0.034,-0.134,0.196,-0.065,-0.153,-0.135,-0.121,-0.156
HD220507,5698,4.29,0.01,0.090,0.147,0.165,0.083,0.062,0.133,0.133,0.130,0.138,0.106,0.026,0.067,-0.030,0.110,0.031
HD220894,6282,4.60,0.02,0.015,-0.123,-0.080,0.017,0.053,0.053,0.075,0.043,0.085,0.003,0.005,0.027,-0.028,-0.020,-0.001
HD221146,5876,4.27,0.08,0.170,0.123,0.110,0.117,0.111,0.123,0.145,0.100,0.097,0.077,0.084,0.037,0.095,0.124,0.107
HD221287,6374,4.62,0.04,-0.050,-0.060,-0.110,-0.001,0.074,-0.190,0.013,0.059,0.048,-0.023,0.034,0.050,-0.010,-0.067,-0.023
HD221343,5848,4.54,0.11,0.260,0.090,0.180,0.085,0.110,0.100,0.098,0.101,0.072,0.121,0.115,0.103,0.135,0.116,0.098
HD221356,6112,4.53,-0.20,-0.250,-0.127,-0.240,-0.175,-0.097,-0.090,-0.122,-0.095,-0.093,-0.198,-0.219,-0.210,-0.328,-0.227,-0.227
HD221420,5847,4.03,0.33,0.520,0.407,0.435,0.370,0.313,0.450,0.485,0.375,0.400,0.425,0.324,0.220,0.398,0.467,0.418
HD221580,5322,2.68,-1.13,-1.285,-0.893,-1.040,-0.887,-0.838,99.99,-1.095,-0.909,-0.912,-1.115,-1.179,-0.973,-1.538,-1.164,-1.215
HD221638,6360,4.53,-0.21,-0.545,-0.197,-0.410,-0.129,-0.156,0.030,-0.180,-0.150,-0.165,-0.346,-0.237,-0.270,-0.330,-0.284,-0.268
HD22177,5666,4.26,0.20,0.255,0.247,0.270,0.223,0.176,0.277,0.297,0.248,0.252,0.264,0.215,0.203,0.268,0.304,0.210
HD221974,5170,4.30,0.30,0.460,0.187,0.410,0.297,0.229,0.517,0.452,0.398,0.337,0.726,0.307,0.290,0.405,0.675,0.397
HD222237,4780,4.37,-0.38,-0.155,-0.203,-0.030,-0.271,-0.178,0.287,-0.252,0.073,-0.228,0.333,-0.277,-0.410,-0.433,-0.163,-0.345
